comparison_figure,delta_min,goci_nc,goci_subset,goci_time,landsat_calibrated,landsat_tif,landsat_time,overlap,status
batch_cal_clip\LC08_L1TP_118038_20210429_20210507_02_T1\GK2_GOCI2_L1B_20210429_021530_LA_S010_compare.png,8.6,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20210429_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20210429_20210507_02_T1\GK2_GOCI2_L1B_20210429_021530_LA_S010_subset_footprint.nc,2021-04-29T02:33:08,batch_cal_clip\LC08_L1TP_118038_20210429_20210507_02_T1\LC08_L1TP_118038_20210429_20210507_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20210429_20210507_02_T1,2021-04-29T02:24:34,yes,ok
batch_cal_clip\LC08_L1TP_118038_20220227_20220309_02_T1\GK2_GOCI2_L1B_20220227_021530_LA_S010_compare.png,7.4,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20220227_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20220227_20220309_02_T1\GK2_GOCI2_L1B_20220227_021530_LA_S010_subset_footprint.nc,2022-02-27T02:32:27,batch_cal_clip\LC08_L1TP_118038_20220227_20220309_02_T1\LC08_L1TP_118038_20220227_20220309_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20220227_20220309_02_T1,2022-02-27T02:25:01,yes,ok
batch_cal_clip\LC08_L1TP_118038_20220315_20220322_02_T1\GK2_GOCI2_L1B_20220315_021530_LA_S010_compare.png,7.2,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20220315_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20220315_20220322_02_T1\GK2_GOCI2_L1B_20220315_021530_LA_S010_subset_footprint.nc,2022-03-15T02:32:07,batch_cal_clip\LC08_L1TP_118038_20220315_20220322_02_T1\LC08_L1TP_118038_20220315_20220322_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20220315_20220322_02_T1,2022-03-15T02:24:56,yes,ok
batch_cal_clip\LC08_L1TP_118038_20230129_20230227_02_T1\GK2_GOCI2_L1B_20230129_021530_LA_S010_compare.png,7.2,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20230129_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20230129_20230227_02_T1\GK2_GOCI2_L1B_20230129_021530_LA_S010_subset_footprint.nc,2023-01-29T02:32:37,batch_cal_clip\LC08_L1TP_118038_20230129_20230227_02_T1\LC08_L1TP_118038_20230129_20230227_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20230129_20230227_02_T1,2023-01-29T02:25:23,yes,ok
batch_cal_clip\LC08_L1TP_118038_20241201_20241203_02_T1\GK2_GOCI2_L1B_20241201_021530_LA_S010_compare.png,7.6,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20241201_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20241201_20241203_02_T1\GK2_GOCI2_L1B_20241201_021530_LA_S010_subset_footprint.nc,2024-12-01T02:32:48,batch_cal_clip\LC08_L1TP_118038_20241201_20241203_02_T1\LC08_L1TP_118038_20241201_20241203_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20241201_20241203_02_T1,2024-12-01T02:25:11,yes,ok
batch_cal_clip\LC08_L1TP_118038_20241217_20241227_02_T1\GK2_GOCI2_L1B_20241217_021801_LA_S010_compare.png,10.3,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20241217_021801_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20241217_20241227_02_T1\GK2_GOCI2_L1B_20241217_021801_LA_S010_subset_footprint.nc,2024-12-17T02:35:19,batch_cal_clip\LC08_L1TP_118038_20241217_20241227_02_T1\LC08_L1TP_118038_20241217_20241227_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20241217_20241227_02_T1,2024-12-17T02:25:01,yes,ok
batch_cal_clip\LC08_L1TP_118038_20250323_20250331_02_T1\GK2_GOCI2_L1B_20250323_021530_LA_S010_compare.png,7.4,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20250323_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20250323_20250331_02_T1\GK2_GOCI2_L1B_20250323_021530_LA_S010_subset_footprint.nc,2025-03-23T02:32:07,batch_cal_clip\LC08_L1TP_118038_20250323_20250331_02_T1\LC08_L1TP_118038_20250323_20250331_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20250323_20250331_02_T1,2025-03-23T02:24:41,yes,ok
batch_cal_clip\LC08_L1TP_118038_20250408_20250415_02_T1\GK2_GOCI2_L1B_20250408_021530_LA_S010_compare.png,7.3,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20250408_021530_LA_S010.nc,batch_cal_clip\LC08_L1TP_118038_20250408_20250415_02_T1\GK2_GOCI2_L1B_20250408_021530_LA_S010_subset_footprint.nc,2025-04-08T02:31:57,batch_cal_clip\LC08_L1TP_118038_20250408_20250415_02_T1\LC08_L1TP_118038_20250408_20250415_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC08_L1TP_118038_20250408_20250415_02_T1,2025-04-08T02:24:37,yes,ok
batch_cal_clip\LC09_L1TP_118038_20230310_20230310_02_T1\GK2_GOCI2_L1B_20230310_021530_LA_S010_compare.png,7.0,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20230310_021530_LA_S010.nc,batch_cal_clip\LC09_L1TP_118038_20230310_20230310_02_T1\GK2_GOCI2_L1B_20230310_021530_LA_S010_subset_footprint.nc,2023-03-10T02:32:07,batch_cal_clip\LC09_L1TP_118038_20230310_20230310_02_T1\LC09_L1TP_118038_20230310_20230310_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC09_L1TP_118038_20230310_20230310_02_T1,2023-03-10T02:25:08,yes,ok
batch_cal_clip\LC09_L1TP_118038_20230326_20230326_02_T1\GK2_GOCI2_L1B_20230326_021530_LA_S010_compare.png,7.1,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20230326_021530_LA_S010.nc,batch_cal_clip\LC09_L1TP_118038_20230326_20230326_02_T1\GK2_GOCI2_L1B_20230326_021530_LA_S010_subset_footprint.nc,2023-03-26T02:32:07,batch_cal_clip\LC09_L1TP_118038_20230326_20230326_02_T1\LC09_L1TP_118038_20230326_20230326_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC09_L1TP_118038_20230326_20230326_02_T1,2023-03-26T02:25:02,yes,ok
batch_cal_clip\LC09_L1TP_118038_20231207_20231207_02_T1\GK2_GOCI2_L1B_20231207_021530_LA_S010_compare.png,7.6,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\GK2_GOCI2_L1B_20231207_021530_LA_S010.nc,batch_cal_clip\LC09_L1TP_118038_20231207_20231207_02_T1\GK2_GOCI2_L1B_20231207_021530_LA_S010_subset_footprint.nc,2023-12-07T02:32:48,batch_cal_clip\LC09_L1TP_118038_20231207_20231207_02_T1\LC09_L1TP_118038_20231207_20231207_02_T1_TOA_RAD_B1-2-3-4-5.tif,D:\Py_Code\img_match\SR_Imagery\118_038_2021_2025\LC09_L1TP_118038_20231207_20231207_02_T1,2023-12-07T02:25:14,yes,ok
